Title,Publisher,Author,Year
"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!","<a href=""/s/?q=%5BAndrew+Macarthy%5D"" title=""Publisher"">[Andrew Macarthy]</a>",Andrew Macarthy,2017
"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand","<a href=""/s/?q=McGraw-Hill"" title=""Publisher"">McGraw-Hill</a>","Ekaterina Walter, Jessica Gioglio",2014
"Social Media Strategy: Marketing, Advertising, and Public Relations in the Consumer Revolution","<a href=""/s/?q=Rowman+%26+Littlefield+Publishers"" title=""Publisher"">Rowman &amp; Littlefield Publishers</a>",Keith Quesenberry,2018
"Social Media Marketing Mastery (2 Manuscripts in 1): The Ultimate Practical Guide to Marketing, Advertising, Growing Your Business and Becoming an Influencer ... with Facebook, Instagram, Youtube and More","<a href=""/s/?q=Gary+Clyne"" title=""Publisher"">Gary Clyne</a>",Clyne Gary,2019
"Storytelling: Manipulation of the Audience - How to Learn to Skyrocket Your Personal Brand and Online Business Using the Power of Social Media Marketing, Including Instagram, Facebook and YouTube",nan,Daniel Anderson,2019
"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",nan,ALLAN KANE,2020
"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income","<a href=""/s/?q=Independently+published"" title=""Publisher"">Independently published</a>",Digital Business Academy [Digital Business Academy],2021
"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series) (Scanned PDF)","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Ann Handley, C.C. Chapman",2010
"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Kipp Bodnar, Jeffrey L. Cohen",2012
Social Media Marketing All-in-One For Dummies,"<a href=""/s/?q=John+Wiley+%26+Sons"" title=""Publisher"">John Wiley &amp; Sons</a>","Jan Zimmerman, Deborah Ng",2017
Ten Arguments For Deleting Your Social Media Accounts Right Now,"<a href=""/s/?q=The+Bodley+Head+Ltd"" title=""Publisher"">The Bodley Head Ltd</a>",Jaron Lanier,2018
Digital And Social Media Marketing: Emerging Applications And Theoretical Development,"<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>","Nripendra P. Rana, Emma L. Slade, Ganesh Prasad Sahu, Hatice Kizgin, Nitish Singh, Bidit Dey, Anabel Gutierrez, Yogesh K. Dwivedi",2020
"Mind Wars: A History of Mind Control, Surveillance, and Social Engineering by the Government, Media, and Secret Societies","<a href=""/s/?q=Red+Wheel%2FWeiser"" title=""Publisher"">Red Wheel/Weiser</a>","Marie D. Jones, Larry Flaxman",2015
"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Instagram, GitHub, and More","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>","Russell, Matthew A., Klassen, Mikhail",2019
"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More",nan,"Jenkins, Alex",2016
"Social media marketing workbook 2019: how to leverage the power of Facebook advertising, Instagram marketing, YouTube and SEO to explode your business and personal brand","<a href=""/s/?q=Social+Media+Guru"" title=""Publisher"">Social Media Guru</a>","Schaffner, Adam",2019
"Social Media Marketing, 3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",nan,"Miller, Dave",2020
Social Media Marketing For Dummies,"<a href=""/s/?q=John+Wiley+%26+Sons"" title=""Publisher"">John Wiley &amp; Sons</a>","Shiv Singh, Stephanie Diamond",2020
"Computational Propaganda: Political Parties, Politicians, and Political Manipulation on Social Media","<a href=""/s/?q=Oxford+University+Press"" title=""Publisher"">Oxford University Press</a>","Samuel  C .  Woolley, Philip N. Howard",2018
"500 social media marketing tips : essential advice, hints and strategy for business : Facebook, Twitter, Pinterest, Google+, YouTube, Instagram, Linkedin, and more!",nan,Andrew Macarthy,2014
"Seven Layers of Social Media Analytics: Mining Business Insights from Social Media Text, Actions, Networks, Hyperlinks, Apps, Search Engine, and Location Data",nan,Gohar F. Khan,2015
Social Media,"<a href=""/s/?q=Createspace+Independent+Publishing+Platform"" title=""Publisher"">Createspace Independent Publishing Platform</a>",Grant Kennedy,2016
The SAGE Handbook of Social Media Research Methods,"<a href=""/s/?q=SAGE+Publications+Ltd"" title=""Publisher"">SAGE Publications Ltd</a>","Luke Sloan, Anabel Quan-Haase",2017
"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness","<a href=""/s/?q=HarperBusiness"" title=""Publisher"">HarperBusiness</a>",Gary Vaynerchuk,2016
Social Media Data Mining and Analytics,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Gabor Szabo, Gungor Polatkan, P. Oscar Boykin, Antonios Chalkiopoulos",2018
"Social Media Marketing 2021: 4 BOOKS IN 1 - Social Media for Beginners, Instagram Marketing to Become an Influencer, Facebook Advertising, Google AdWords",nan,"Preace, Jeremy",2020
"Praxiswissen Online-Marketing: Affiliate-, Influencer-, Content- und E-Mail-Marketing, Google Ads, SEO, Social Media, Online- inklusive Facebook-Werbung (German Edition)","<a href=""/s/?q=Springer+Gabler"" title=""Publisher"">Springer Gabler</a>","Lammenett, Erwin",2019
"FACEBOOK MARKETING 2021: Hit With Advertising Strategies to Estimate Your Small Business on Top,use This Move by Step Beginner’s Guide for Passive Income on Social Media to Make Money Online Fromhome","<a href=""/s/?q=%23PrB.rating%230.0"" title=""Publisher"">#PrB.rating#0.0</a>","Jack Mathew [Mathew, Jack]",2021
"Social Security 101: From Medicare To Spousal Benefits, An Essential Primer On Government Retirement Aid (adams 101)","<a href=""/s/?q=Adams+Media"" title=""Publisher"">Adams Media</a>","Mill, Alfred",2016
The Art of Social Media: Power Tips for Power Users,"<a href=""/s/?q=Portfolio"" title=""Publisher"">Portfolio</a>","Guy Kawasaki, Peg Fitzpatrick",2014
Influencer: Building your personal brand in the age of social media,"<a href=""/s/?q=Citadel+Press"" title=""Publisher"">Citadel Press</a>","Hennessy, Brittany",2018
Social Media Success for Every Brand: The Five StoryBrand Pillars That Turn Posts Into Profits,"<a href=""/s/?q=HarperCollins+Leadership"" title=""Publisher"">HarperCollins Leadership</a>",Claire Diaz-Ortiz,2019
"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing","<a href=""/s/?q=Entrepreneur+Press"" title=""Publisher"">Entrepreneur Press</a>","Dan S. Kennedy, Kim Walsh-Phillips",2015
Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,"<a href=""/s/?q=Grand+Central+Publishing"" title=""Publisher"">Grand Central Publishing</a>",Aliza Licht,2015
"Media, Society, World: Social Theory and Digital Media Practice","<a href=""/s/?q=Polity"" title=""Publisher"">Polity</a>",Nick Couldry,2012
"INSTAGRAM MARKETING 2021: Success in your business with the power of promotion, grow a top influencer with the secrets of this beginner’s guide for growth in social media marketing",nan,"Mathew, Jack [Mathew, Jack]",2021
Introduction to Mass Communication: Media Literacy and Culture,"<a href=""/s/?q=McGraw-Hill+Humanities%2FSocial+Sciences%2FLanguages"" title=""Publisher"">McGraw-Hill Humanities/Social Sciences/Languages</a>",Stanley Baran,2013
"Python Social Media Analytics: Analyze and visualize data from Twitter, Youtube, GitHub, and more","<a href=""/s/?q=Packt+Publishing"" title=""Publisher"">Packt Publishing</a>","Siddhartha Chatterjee, Michal Krystyanczuk",2017
